customerID;gender;Partner;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;PaperlessBilling;Churn
7590-VHVEG;Female;Yes;No;DSL;No;Yes;No;No;No;No;Yes;No
5575-GNVDE;Male;No;Yes;DSL;Yes;No;Yes;No;No;No;No;No
3668-QPYBK;Male;No;Yes;DSL;Yes;Yes;No;No;No;No;Yes;Yes
7795-CFOCW;Male;No;No;DSL;Yes;No;Yes;Yes;No;No;No;No
9237-HQITU;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
9305-CDSKC;Female;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes;Yes
1452-KIOVK;Male;No;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes;No
6713-OKOMC;Female;No;No;DSL;Yes;No;No;No;No;No;No;No
7892-POOKP;Female;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Yes;Yes
6388-TABGU;Male;No;Yes;DSL;Yes;Yes;No;No;No;No;No;No
9763-GRSKD;Male;Yes;Yes;DSL;Yes;No;No;No;No;No;Yes;No
7469-LKBCI;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
8091-TTVAX;Male;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;No;No
0280-XJGEX;Male;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;Yes
5129-JLPIS;Male;No;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes;No
3655-SNQYZ;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No;No
8191-XWSZG;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
9959-WOFKT;Male;No;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;No;No
4190-MFLUW;Female;Yes;Yes;DSL;No;No;Yes;Yes;No;No;No;Yes
