customerID;gender;Partner;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;PaperlessBilling
6733-LRIZX;Male;No;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes
9503-XJUME;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4367-NHWMM;Female;No;No;DSL;No;No;No;No;No;No;Yes
3727-RJMEO;Male;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Yes
3779-OSWCF;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;No
6736-DHUQI;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;No
3915-ODIYG;Male;No;Yes;DSL;Yes;Yes;No;No;No;Yes;Yes
1360-RCYRT;Male;Yes;No;DSL;No;No;No;Yes;No;No;Yes
2724-FJDYW;Male;No;No;DSL;No;No;Yes;Yes;Yes;Yes;No
4451-RWASJ;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
6646-VRFOL;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
3460-TJBWI;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5917-HBSDW;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5685-IIXLY;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Yes
5671-UUNXD;Female;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Yes
0956-ACVZC;Female;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes
2325-NBPZG;Female;No;Yes;Fiber optic;Yes;No;No;No;No;No;Yes
4250-ZBWLV;Male;No;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;No
4482-FTFFX;Male;No;Yes;DSL;No;No;Yes;Yes;No;No;No
8859-DZTGQ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0440-MOGPM;Female;No;Yes;DSL;No;Yes;Yes;No;Yes;Yes;Yes
0020-JDNXP;Female;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;No
3752-CQSJI;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
5025-GOOKI;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
4698-KVLLG;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
5095-AESKG;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Yes
2887-JPYLU;Female;No;Yes;DSL;No;No;No;No;No;No;No
4770-QAZXN;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4896-CPRPF;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
1871-MOWRM;Male;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;No
9714-EDSUC;Male;No;Yes;Fiber optic;Yes;Yes;No;Yes;No;Yes;Yes
2027-OAQQC;Female;No;No;DSL;No;No;Yes;No;Yes;Yes;Yes
0282-NVSJS;Female;Yes;No;DSL;No;No;No;Yes;No;No;Yes
9090-SGQXL;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes
6595-YGXIT;Male;No;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes
7353-YOWFP;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
9835-ZIITK;Male;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes
8008-ESFLK;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No
7537-CBQUZ;Male;No;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Yes
1555-DJEQW;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes
5649-TJHOV;Male;Yes;No;DSL;No;No;No;No;No;Yes;No
0519-XUZJU;Female;No;Yes;Fiber optic;No;No;No;No;No;No;No
3363-EWLGO;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
4750-UKWJK;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
6338-AVWCY;Male;No;No;DSL;No;No;Yes;No;Yes;No;Yes
1689-YQBYY;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes
4487-ZYJZK;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2959-FENLU;Female;No;Yes;Fiber optic;No;No;Yes;No;No;Yes;Yes
0708-LGSMF;Male;Yes;Yes;DSL;Yes;No;No;No;No;Yes;Yes
9253-QXKBE;Male;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes
7634-HLQJR;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
0487-RPVUM;Male;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;No;No
4079-ULGFR;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No
2516-XSJKX;Female;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;No
0057-QBUQH;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes
9445-SZLCH;Female;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Yes
6599-SFQVE;Female;No;Yes;DSL;No;No;No;No;No;Yes;Yes
8331-ZXFOE;Female;No;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Yes
4003-FUSHP;Male;No;Yes;DSL;No;No;No;Yes;Yes;No;Yes
0356-ERHVT;Male;Yes;Yes;DSL;No;No;No;No;No;No;Yes
7325-ENZFI;Female;No;No;DSL;Yes;Yes;No;Yes;No;No;Yes
